id,user_id,subject_id,day,period,start_time,end_time,room,department,semester
bc864e37-7a10-448f-a987-bd4ddc234931,,bcfa643a-f890-4eea-90ca-9ea91f079bc3,Monday,1,08:00:00,08:55:00,CR 5,E02,5
433f1fb8-e5f4-4ac0-8594-fca72be53cd1,,bcfa643a-f890-4eea-90ca-9ea91f079bc3,Monday,2,08:55:00,09:50:00,CR 5,E02,5
3144c19d-5219-4541-8e00-eaf249f278cf,,5f1c51b5-0c4e-46da-b214-a3d3528b6602,Monday,3,10:10:00,11:05:00,CR 5,E02,5
577bbb3c-a3cb-4e42-9cfa-f5ea3ed286c2,,5f1c51b5-0c4e-46da-b214-a3d3528b6602,Monday,4,11:05:00,12:00:00,CR 5,E02,5
826b9d4a-2a5f-4e18-896e-1313e2c8b4a7,,dc9eb394-88af-497d-9abe-6082ad94c781,Monday,5,13:00:00,13:50:00,CR 5,E02,5
d4a308ce-97a1-4e6f-8356-0c3c8b778045,,dc9eb394-88af-497d-9abe-6082ad94c781,Monday,6,13:50:00,14:40:00,CR 5,E02,5
6844d1e7-4008-477d-966c-574cd251f675,,b7f32899-c477-408e-aab5-bbf99ff7c5c3,Monday,7,14:55:00,15:45:00,CR 5,E02,5
b5d3a70e-5c29-4de5-90b2-d9e0c3761488,,4ea199b4-9c97-4d4b-b7ac-e190c497c051,Tuesday,1,08:00:00,08:55:00,IoT Lab,E02,5
47fce85f-998d-405c-99f9-4a597edd14e4,,4ea199b4-9c97-4d4b-b7ac-e190c497c051,Tuesday,2,08:55:00,09:50:00,IoT Lab,E02,5
6376fb02-40d6-4a2a-9dc0-9f83fabcf7c7,,11e0cb10-4a83-40fd-913c-964821094b4c,Tuesday,3,10:10:00,11:05:00,IoT LAB,E02,5
811a71e8-4494-493a-88eb-6b03a975d0a6,,11e0cb10-4a83-40fd-913c-964821094b4c,Tuesday,4,11:05:00,12:00:00,IoT LAB,E02,5
3eb6e8c3-eed3-40d2-bac0-5492f9605c20,,1a7dc879-c159-447b-b31a-9500ce8984fa,Tuesday,5,13:00:00,13:50:00,CR 5,E02,5
e25ca0b3-d1d3-4c83-a636-c5bd36f3f588,,5f224566-4b10-4b07-9346-42d3b60a7e79,Tuesday,6,13:50:00,14:40:00,CR 5,E02,5
03f2d4c5-4cdd-4600-86d9-4ea9f6d94ea5,,1a7dc879-c159-447b-b31a-9500ce8984fa,Tuesday,7,14:55:00,15:45:00,CR 5,E02,5
f9f4bfed-edad-44ea-9a6b-ae0149a3eac2,,5f224566-4b10-4b07-9346-42d3b60a7e79,Wednesday,1,08:00:00,08:55:00,CR 5,E02,5
5049e8e8-bde8-463f-9de5-426cc0d7bd03,,79a9ba9c-f18d-4e6b-a73f-cb36751b9f57,Wednesday,2,08:55:00,09:50:00,CR 5,E02,5
f2ccbea2-d7f5-4a99-99dc-9e49c6752067,,e5a10bad-1ef1-423e-af2b-ac5ed91d55e2,Wednesday,3,10:10:00,11:05:00,CR 5,E02,5
